source_row,name,city,state,country,type,should_write,written_raw,written_status,drew_one_raw,drew_status,wrote_thank_feb2020,website,instagram,twitter,existing_site_match,existing_site_id,existing_site_path,candidate_site_names
2,Ale Spike,Apo,AE,,Micro,,2019-08-29T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
3,49th State Brewing Co,Anchorage,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
4,49th State Brewing Co - Anchorage,Anchorage,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
5,Anchorage Brewing Co,Anchorage,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
6,Broken Tooth Brewing Co,Anchorage,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
7,Cynosure Brewing,Anchorage,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
8,Glacier Brewhouse,Anchorage,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
9,Humpy’s Great Alaskan Alehouse,Anchorage,AK,,Contract,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
10,King Street Brewing Co,Anchorage,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
11,Midnight Sun Brewing Co,Anchorage,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
12,"Resolution Brewing Company, LLC",Anchorage,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
13,Turnagain Brewing,Anchorage,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
14,"Cooper Landing Brewing Company, LLC.",Cooper Landing,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
15,Odd Man Rush,Eagle River,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
16,Black Spruce Brewing Company,Fairbanks,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,yes,confirmed_yes,yes,,,,unmatched,,,
17,HooDoo Brewing Co,Fairbanks,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,yes,confirmed_yes,yes,,,,exact,hoodoo-brewing-co,content/breweries/hoodoo-brewing-co.md,
18,Midnite Mine Brewpub,Fairbanks,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
19,Silver Gulch Brewing Co,Fairbanks,AK,,Micro,,2019-12-08T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
20,Gakona Brewing Company,Gakona,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
21,Girdwood Brewing Company,Girdwood,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
22,Haines Brewing Co,Haines,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
23,"Grace Ridge Brewing, Inc.",Homer,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
24,Homer Brewing Co,Homer,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
25,Alaskan Brewing Co.,Juneau,AK,,Regional,,2019-08-29T00:00:00,confirmed_date,yes,confirmed_yes,yes,,,,exact,alaskan-brewing-co,content/breweries/alaskan-brewing-co.md,
26,Barnaby Brewing Company,Juneau,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
27,Devil’s Club Brewing,Juneau,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
28,Kassik’s Brewery,Kenai,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
29,Baleen Brewing Co.,Ketchikan,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
30,Bawden Street Brewing Co,Ketchikan,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
