page_id,section,title,city,state,zip,type,written,drew_one,source_rows
breweries/10-barrel-brewing-co-bend-pub,breweries,10 Barrel Brewing Co - Bend Pub,Bend,OR,97701,Largge,2020-03-03,Not recorded,5672
breweries/10-barrel-brewing-co-denver,breweries,10 Barrel Brewing Co - Denver,Denver,CO,80205,Largge,2020-03-03,Not recorded,1294
breweries/10-torr-distilling-and-brewing,breweries,10 Torr Distilling and Brewing,Reno,NV,89502,Micro,2019-08-29,Not recorded,4865
breweries/105-west-brewing-co,breweries,105 West Brewing Co,Castle Rock,CO,80109,Taproom,2019-08-29,Not recorded,1234
breweries/10k-brewing,breweries,10K Brewing,Anoka,MN,55303,Taproom,2019-08-29,Not recorded,3713
breweries/10th-district-brewing-company,breweries,10th District Brewing Company,Abington,MA,02351,Taproom,2020-04-11,Not recorded,2935
breweries/11-below-brewing-company,breweries,11 Below Brewing Company,Houston,TX,77066,Micro,2019-08-29,Not recorded,6755
breweries/1188-brewing-co,breweries,1188 Brewing Co,John Day,OR,97845,Brewpub,2019-08-29,Not recorded,5763
breweries/12-bones-brewing,breweries,12 Bones Brewing,Arden,NC,28704,Taproom,2019-08-29,Not recorded,4139
breweries/12-fox-beer-co,breweries,12 Fox Beer Co,Dripping Springs,TX,78620,Taproom,2019-08-29,Not recorded,6712
breweries/12-gates-brewing-company,breweries,12 Gates Brewing Company,Williamsville,NY,14221,Taproom,2019-08-29,Not recorded,5301
breweries/12-west-brewing-company,breweries,12 West Brewing Company,Gilbert,AZ,85296,Taproom,2019-08-29,Not recorded,152
breweries/12-west-brewing-company-production-facility,breweries,12 West Brewing Company - Production Facility,Mesa,AZ,85207,Micro,2019-08-29,Not recorded,169
breweries/127-brewing,breweries,127 Brewing,Jackson,MI,49201,Taproom,2019-08-29,Not recorded,3533
breweries/12degree-brewing,breweries,12Degree Brewing,Louisville,CO,80027,Brewpub,2019-08-29,Not recorded,1507
breweries/13-below-brewery,breweries,13 Below Brewery,Cincinnati,OH,45233,Taproom,2020-03-03,Not recorded,5357
breweries/13-stripes-brewery,breweries,13 Stripes Brewery,Taylors,SC,29687,Brewpub,2019-08-29,Not recorded,6448
breweries/13-virtues-brewing-co,breweries,13 Virtues Brewing Co,Portland,OR,97202,Taproom,2019-08-29,Yes,5810
breweries/13th-child-brewery,breweries,13th Child Brewery,Williamstown,NJ,08094,Micro,2019-08-29,Not recorded,4742
breweries/14-cannons-brewing-company,breweries,14 Cannons Brewing Company,Westlake Village,CA,91362,Taproom,2019-08-29,Not recorded,1157
breweries/1487-brewery,breweries,1487 Brewery,Alexandria,OH,43001,Proprietor,2019-08-29,Not recorded,5316
breweries/14er-brewing-company,breweries,14er Brewing Company,Denver,CO,80205,Micro,2019-08-29,Not recorded,1282
breweries/14th-star-brewing,breweries,14th Star Brewing,Saint Albans,VT,05478,Micro,2019-08-29,Not recorded,7250
breweries/15-24-brew-house,breweries,15-24 Brew House,Clay Center,KS,67432,Brewpub,2019-08-29,Not recorded,2779
breweries/16-lots-brewing,breweries,16 Lots Brewing,Mason,OH,45040,Brewpub,2019-10-26,Not recorded,5520
breweries/1623-brewing-co-llc,breweries,"1623 Brewing CO, llc",Westminister,MD,21157,Proprietor,2019-08-29,Not recorded,3208
breweries/1717-brewing-co,breweries,1717 Brewing Co,Des Moines,IA,50309,Taproom,2020-02-01,Not recorded,2211
breweries/1781-brewing-company,breweries,1781 Brewing Company,Spotsylvania,VA,22553,Taproom,2019-08-29,Not recorded,7155
